iter	Passed	Remaining
781	19455	5423
782	19479	5398
783	19502	5373
784	19528	5348
785	19555	5324
786	19576	5298
787	19601	5273
788	19625	5248
789	19651	5223
790	19674	5198
791	19699	5173
792	19721	5148
793	19749	5124
794	19772	5098
795	19793	5072
796	19817	5047
797	19843	5023
798	19867	4997
799	19894	4973
800	19915	4947
801	19940	4923
802	19969	4899
803	19992	4873
804	20011	4847
805	20035	4822
806	20061	4797
807	20084	4772
808	20108	4747
809	20130	4721
810	20156	4697
811	20178	4671
812	20201	4646
813	20228	4622
814	20254	4597
815	20283	4573
816	20309	4549
817	20329	4523
818	20357	4498
819	20385	4474
820	20408	4449
821	20431	4424
822	20455	4399
823	20478	4374
824	20503	4349
825	20530	4324
826	20554	4299
827	20577	4274
828	20601	4249
829	20627	4224
830	20653	4200
831	20675	4174
832	20701	4150
833	20728	4125
834	20752	4100
835	20774	4075
836	20797	4050
837	20819	4024
838	20842	3999
839	20865	3974
840	20890	3949
841	20912	3924
842	20937	3899
843	20962	3874
844	20982	3848
845	21005	3823
846	21026	3798
847	21054	3773
848	21080	3749
849	21102	3724
850	21123	3698
851	21144	3673
852	21172	3648
853	21196	3623
854	21221	3598
855	21245	3573
856	21267	3548
857	21291	3523
858	21312	3498
859	21340	3474
860	21364	3449
861	21382	3423
862	21407	3398
863	21430	3373
864	21454	3348
865	21477	3323
866	21501	3298
867	21526	3273
868	21552	3248
869	21575	3223
870	21601	3199
871	21627	3174
872	21652	3149
873	21678	3125
874	21702	3100
875	21724	3075
876	21745	3049
877	21767	3024
878	21791	2999
879	21817	2975
880	21842	2950
881	21868	2925
882	21893	2900
883	21920	2876
884	21949	2852
885	21973	2827
886	21995	2802
887	22021	2777
888	22045	2752
889	22074	2728
890	22100	2703
891	22126	2678
892	22153	2654
893	22179	2629
894	22209	2605
895	22236	2581
896	22263	2556
897	22290	2531
898	22318	2507
899	22349	2483
900	22376	2458
901	22402	2433
902	22432	2409
903	22454	2384
904	22479	2359
905	22510	2335
906	22536	2310
907	22562	2286
908	22591	2261
909	22614	2236
910	22642	2212
911	22668	2187
912	22696	2162
913	22723	2138
914	22752	2113
915	22776	2088
916	22806	2064
917	22838	2040
918	22862	2015
919	22884	1989
920	22907	1964
921	22933	1940
922	22966	1915
923	22994	1891
924	23018	1866
925	23041	1841
926	23061	1816
927	23084	1791
928	23110	1766
929	23139	1741
930	23167	1717
931	23195	1692
932	23218	1667
933	23245	1642
934	23271	1617
935	23299	1593
936	23328	1568
937	23353	1543
938	23380	1518
939	23406	1494
940	23431	1469
941	23457	1444
942	23481	1419
943	23505	1394
944	23533	1369
945	23560	1344
946	23588	1320
947	23616	1295
948	23639	1270
949	23666	1245
950	23698	1221
951	23727	1196
952	23752	1171
953	23777	1146
954	23803	1121
955	23827	1096
956	23853	1071
957	23889	1047
958	23918	1022
959	23944	997
960	23973	972
961	23996	947
962	24026	923
963	24061	898
964	24093	873
965	24119	848
966	24148	824
967	24170	799
968	24194	774
969	24224	749
970	24245	724
971	24274	699
972	24298	674
973	24322	649
974	24347	624
975	24371	599
976	24397	574
977	24426	549
978	24454	524
979	24477	499
980	24506	474
981	24534	449
982	24562	424
983	24591	399
984	24617	374
985	24639	349
986	24659	324
987	24684	299
988	24712	274
989	24737	249
990	24762	224
991	24784	199
992	24809	174
993	24833	149
994	24856	124
995	24882	99
996	24909	74
997	24934	49
998	24958	24
999	24981	0
